from,to,value,type,lng1,lat1,lng2,lat2
鎷夎惃,娴疯タ,6.91,move_out,91.111891,29.662557,97.342625,37.373799
鎷夎惃,鎴愰兘,4.79,move_out,91.111891,29.662557,104.067923,30.679943
鎷夎惃,閲嶅簡,2.41,move_out,91.111891,29.662557,106.530635,29.544606
鎷夎惃,鍖椾含,2.05,move_out,91.111891,29.662557,116.395645,39.929986
鎷夎惃,瑗垮畞,1.7,move_out,91.111891,29.662557,101.767921,36.640739
鎷夎惃,涓婃捣,1.06,move_out,91.111891,29.662557,121.487899,31.249162
鎷夎惃,瑗垮畨,1.05,move_out,91.111891,29.662557,108.953098,34.2778
鎷夎惃,鏄嗘槑,0.62,move_out,91.111891,29.662557,102.714601,25.049153
鎷夎惃,閮戝窞,0.6,move_out,91.111891,29.662557,113.649644,34.75661
鎷夎惃,鍏板窞,0.55,move_out,91.111891,29.662557,103.823305,36.064226
鎷夎惃,鎴愰兘,4.27,move_in,91.111891,29.662557,104.067923,30.679943
鎷夎惃,娴疯タ,2.61,move_in,91.111891,29.662557,97.342625,37.373799
鎷夎惃,閲嶅簡,1.72,move_in,91.111891,29.662557,106.530635,29.544606
鎷夎惃,瑗垮畞,0.96,move_in,91.111891,29.662557,101.767921,36.640739
鎷夎惃,鍖椾含,0.69,move_in,91.111891,29.662557,116.395645,39.929986
鎷夎惃,瑗垮畨,0.58,move_in,91.111891,29.662557,108.953098,34.2778
鎷夎惃,缁甸槼,0.55,move_in,91.111891,29.662557,104.705519,31.504701
鍏板窞,瑗垮畨,3.82,move_in,103.823305,36.064226,108.953098,34.2778
鍏板窞,瑗垮畞,2.76,move_in,103.823305,36.064226,101.767921,36.640739
鍏板窞,娴蜂笢,1.73,move_in,103.823305,36.064226,102.085207,36.51761
鍏板窞,鎴愰兘,1.48,move_in,103.823305,36.064226,104.067923,30.679943
鍏板窞,閾跺窛,1.05,move_in,103.823305,36.064226,106.206479,38.502621
鍏板窞,閲嶅簡,0.8,move_in,103.823305,36.064226,106.530635,29.544606
鍏板窞,瀹濋浮,0.79,move_in,103.823305,36.064226,107.170645,34.364081
鍏板窞,鍖椾含,0.77,move_in,103.823305,36.064226,116.395645,39.929986
鍏板窞,涓崼,0.67,move_in,103.823305,36.064226,105.196754,37.521124
鍏板窞,鍜搁槼,0.53,move_in,103.823305,36.064226,108.707509,34.345373
瀹垮窞,寰愬窞,11.55,move_out,116.988692,33.636772,117.188107,34.271553
瀹垮窞,鑻忓窞,8.51,move_out,116.988692,33.636772,120.619907,31.317987
瀹垮窞,涓婃捣,6.41,move_out,116.988692,33.636772,121.487899,31.249162
瀹垮窞,鍗椾含,5.43,move_out,116.988692,33.636772,118.778074,32.057236
瀹垮窞,鏉窞,2.8,move_out,116.988692,33.636772,120.219375,30.259244
瀹垮窞,鏃犻敗,2.38,move_out,116.988692,33.636772,120.305456,31.570037
瀹垮窞,瀹佹尝,2.07,move_out,116.988692,33.636772,121.579006,29.885259
瀹垮窞,甯稿窞,1.87,move_out,116.988692,33.636772,119.981861,31.771397
瀹垮窞,鍗楅€�,1.69,move_out,116.988692,33.636772,120.873801,32.014665
瀹垮窞,鍟嗕笜,1.62,move_out,116.988692,33.636772,115.641886,34.438589
瀹垮窞,寰愬窞,17.26,move_in,116.988692,33.636772,117.188107,34.271553
瀹垮窞,鍟嗕笜,4.71,move_in,116.988692,33.636772,115.641886,34.438589
瀹垮窞,鑻忓窞,2.79,move_in,116.988692,33.636772,120.619907,31.317987
瀹垮窞,鍗椾含,2.56,move_in,116.988692,33.636772,118.778074,32.057236
瀹垮窞,涓婃捣,2.5,move_in,116.988692,33.636772,121.487899,31.249162
瀹垮窞,瀹胯縼,2.48,move_in,116.988692,33.636772,118.296893,33.95205
瀹垮窞,鑿忔辰,1.26,move_in,116.988692,33.636772,115.46336,35.26244
